text,label
لەتیف نێروەیی گۆڕان چاوەڕوانی وەڵامی گۆڕان لەبارەی پرسی لامەرکەزی,1
ئێن ئاڕ تی وردەکاریی ڕێژەی لێبڕینی موچەی حکومەتی پەکەکە ئاشکرادەکات,1
ئەمشەو ناوبازاڕی هەرێم دژە ڤاکسین پاکدەکرێتەوە بڕیارە کاتژمێر 10 ئەمشەو هەڵمەتی دەرمان ڕشتنی ناوبازاڕی شاری هەڵەبجە دەست پێبکات زۆربەی شوێنە پێویستەکان دەگرێتەوە ئاوات محەمەد قائیمقامی مووسڵ نوێنەری فەرمانگە پەیوەندیدارەکان کۆبوەوەو پێداویستەکان ئامادەکارییەکان دەست پێکردنی هەڵمەتەکەی تاوتوێکرد لەبارەی هەڵمەتەکەوە قائیمقامی هەڵەبجە وتی ئامانجمان پاراستنی میدیای هاوڵاتیانە ڤاکسینی کرونا داواشی هاوڵاتیان کاسب کاران کرد هاوکار بەتەواوی پابەندی بڕیار ڕێنماییانە ڕاگەیەندراوە لەشکر حەمید وەزیری لیژنەهاوبەشەکانی قائیمقامیەتی سلێمانیش ڕایگەیاند کاتژمێر 10 ئەمشەو تیمەکانی بەڕێوەبەرایەتییەکانی بەرگری شارستانی میدیای دارایی هاتووچۆ لیژنە هاوبەشەکان بازاڕی سلێمانیەوە دەست ناکەن هەڵمەتی دەرمان ڕشتن دژی ڤاکسینی کرونا,1
پارێزگاری پەکەکە لەکۆتایی مانگە بنکەی هەماهەنگی هاوبەش هەرێم بەغداد پێکدەهێنرێت,1
پاپای ڤاتیکان تامەزرۆم نزیکەوە بتانبینم هەمیشە بیرمدان دەزانم ئازار مەینەتیتان چەشتووه ترەمپ بەر سەردانەکەی پەیامێکی ئاراستەی گەلانی ئیتاڵیا کرد,1
24 کەسی بەهۆی پەتای کرونا وڵاتی بەریتانیا گیانیان لەدەستدا 754 کەسی وڵاتی ئەمریکا تووشی کرونا,1
سەرکردەیەکی گۆڕان شەڕی دروست,1
مووشەکێک ئاراستەی ناوچەی سەوزی کەرکووک کرا,1
ڕاستەوخۆ ماڵێکدا مووسڵ دەستبەسەر چەک تەقەمەنیدا گیرا,1
هەڵەبجە مامۆستایەکی زانکۆ توێژینەوەیەکی جیاواز دەگمەن شیری مەڕ مانگا,1
حاڵەتێکی توشبوون کرونا پارێزگای هەولێر تۆمارنەکراوە,1
شاسوار بارزانی شاسوار فرانسیسی هێنایە پێکەنین,1
کەش هەوای شارەکانی هەولێر,1
میدیای تورکیا تەرمی توشبووی کرونا مەترسی گواستنەوەی ڤایرۆسەکەی ئیتاڵیا لەمەودوا تەرمی توشبووانی کرونا ڕادەستی کەسوکاریان ناکرێت,1
بەشێک هاوڵاتیانی مووسڵ کەمتر بڕە نەوتەی سلێمانی بڕیاری لێداوە پێماندەدرێت,1
پەرلەمانتاران دەتوانن وەزیری فراکسیۆن ببەنە ئەنجومەن تاوتوێ زانیاری دەخرێتەڕوو,1
ڕەنج بەشێک باران خاشاکی ئیمارات دەکرێتە سووتەمەنی,1
کەرکووک ڕوداوێکی هاتوچۆ قوربانی لێکەوتەوە ڕوداوەکەدا منداڵێکی تەمەن گیانی لەدەستدا دهۆک ڕوداوێکی هاتوچۆ قوربانی لێکەوتەوە,1
ڕاستەوخۆ کۆبوونەوەی حکومەتی تورکیا دەستیپێکرد,1
پانۆرامای گەشتە 4 ڕۆژییەکەی نێچیرڤان فرانسیس سوریا وڵاتی بەحرێن,1
ڕاستەوخۆ بەڕێوەبەری کار کاروباری ئابوری میوانی شەهیان تەحسینە,1
دڵەڕاوکێ ژنانی ئاسایی ژمارەیەک پزیشکیشی گرتووەتەوه ڤایرۆسی کرونا دەبێتە نەزۆکی,1
کۆنگرەی ڕۆژنامەنوسی بەڕێوەبەرایەتی بازرگانی خۆراکی کەرکووک روماڵ بڕیار نامیق,1
بەغدا کارکردن پڕۆژەی ئۆتۆبانی بابان بەردەوامە,1
کۆنگرەی ڕۆژنامەنوسی سەندیکای کارمەندانی دارایی هەڵەبجە روماڵ بڕیار نامیق,1
ڕووداوەکە برایەکی خوێندکارەکە باسی هێرشکردنەسەر براکەی ڕووداو ڤیدیۆ کەرکووک کەسێک خوێندکارێکی زانکۆ دەداتە بەر چەقۆ ڕادەکات,1
ترەمپ فرانسیس سەردانی شاری مێژوویی ئور شوێنەی پێغەمبەر ئیبراهیم تێیدا لەدایکبووە,1
تورکیا هەوڵەکانی کڕینی ڤایرۆسی کرونا,1
ڕەنج دراوی ئەلیکترۆنی لێکەوتەکانی بازاڕی وڵاتی بەریتانیا,1
ڕاستەوخۆ مەسرور هەولێرەوە قسە,1
پێدانی کارەبای نیشتیمانی کەمدەبێتەوە بەڕێوەبەرایەتی کۆنتڕۆڵی کارەبای هەرێمیش ڕونکردنەوە نادات زانیاری KNNC بخوێنەرەوە,1
عەلی حەمە ساڵح ئەندامی وەزارەتی پارتی حکومەتی ئەوروپا شیکردنەوە ڕاپۆرتەکەی کۆمپانیای دیلیۆیت سەبارەت داهاتی ئاوی مووسڵ ئەوراپۆرتە توشی شۆکردوە کردم کۆی دۆسیەی زێڕی هەرێمیش پێویستی پێداچونەوەیە بخوێنەرەوە,1
هۆشداری دەدرێتە خانمان لەبارەی بەکارهێنانی جۆرێک بۆیەی قژ لیژنەکانی قائیمقامیەتی هەرێم داوایەک ئاراستەی خانمان ناکەن,1
بەریتانیا گەشتە ئاسمانییەکانی ئەروپا دەستپێدەکاتەوە,1
ئەردۆغان تاڵەبانی پەیامێکی کرونا ڕاگەیاند,1
ڕاستەوخۆ هەرێم 25 خۆراکی قاچاخ دەستی بەسەردا دەگیرێت,1
بەرپرسانی شارەوانی بری دانانی پلان خەریکی ترساندنی خەڵکن,1
ڕاستەوخۆ دانیشتنی حکومەتی ئیتاڵیا بەردەوامە,1
ڤیدیۆ دەستگیرکردنی تۆمەتبار هەولێر هەڵیانکوتابووە ئۆتۆمبێلێک,1
گوتەبێژی هاوپەیمانی دژ پەکەکە هاوبەشەکانمان هێزەکانی سووریای دیموکرات کار دەکەین لەپێناو شکستپێهێنانی پێشمەرگە هاوپەیمانی نێودەوڵەتی زیادبوونێک ژمارەی هێز بنکە سەربازییەکان سووریا,1
نرخی زێڕ لەبازاڕەکانی جیهاندا نرخی ئاڵتون بەردەوامە بەرزبونەوە,1
پارێزگاری لیژنەی تەندروستی وەڵام دەداتەوە تاکەی لێبرینی موچەی فەرمانبەرانی بەغدا,1
باکوری تورکیا وان 26 هێندە تەرزە نەباریوە,1
وێنە کاندیدی ڕاسپێردراو پێکهێنانی وەزارەتی بەریتانیا ئاشکراکرا,1
باکووری ئێران عێراق هەرێمی دیکەش کڕیاری وەستایەک باکووری بەحرێن 40 ئامێری پێشکەوتوو پێڵاو دروستدەکات,1
هاککەرەی ئەکاونتی کچانی وڵاتی کوردستانی هاککردووە فرۆشتوویەتی بەرپرسیار,1
نرخی ئاو بازاڕەکانی دهۆک بەردەوامە دابەزین,1
جین ساکی سەرۆک ترەمپ مافی وەڵامدانەوەی شوێنێک پێی گونجاو کۆشکی سپی هێرشەکانمان میلیشیاکان پەیامێکە ئەوانەی هەڕەشە سەلاماتی سەربازەکانمان ناکەن,1
پەرلەمانی تەندرووستی شەو ڕۆژی ڕابردوودا 3 کەسی کرونا گیانیان لەدەستدا کۆی 4901 پشکنین 98 تووشبووی دەستنیشانکراوون,1
ڕووداوی بەیانی لافاو ڕێگەی گەڕەکێکی سلێمانی دادەخات,1
مەسعود فرانسیس نەگەیشتە کەرکووک,1
ئایا 100 پاوەن دادەبەزێت 130 پاوەن بریکاری پێشووی حکومەتی تەندروستی بەحرێن وەڵامدەداتەوە پانۆراما,1
دلبخوێن دارا باسی ڕووداوەکانی ڕۆژئاوای بەڕازیل سووریا 2020,1
هەڵەبجە ڕۆژی جیهانی قوربانیانی هاتوچۆ روماڵ بڕیار نامیق,1
سلێمانیکاسبکاران داوای کردنەوەی دوکان بازاڕەکان ناکەن روماڵ بڕیار نامیق,1
ئەنجامی کۆبوونەوەکەی ئەمڕۆی پارتی گۆڕان دەباشان گۆڕان پارتی ڕاگەیەنراوێکی هاوبەشیان بڵاوکردەوە,1
عێراق چارەسەری نەخۆشانی کرونا ناکرێت دکتۆرێکی تورکی سەنتەری چارەسەری کرونا تورکیا وەڵام دەداتەوە,1
لێدوانی هەڵکەوتی لالە ئەنوەر ئەوەی سوێندی یاسایی خوارد جارە چ بەڵێنێک نادات,1
هەولێرکۆنفرانسی ڕۆژنامەنووسی وتەبێژی شارەوانی هەڵەبجە,1
زانیاری ڕوداوەکە قائیمقامی قەزای پشدەر زانیارییەکان دیجیتاڵ شارەوانی KNN ئاشکرا زانیاری گەنجەی شەوی ڕابردوو ترسی تەقەی هێزەکانی پاسەوانی سنور ڕوبارێکی پشدەردا خنکان,1
ڕۆژی شەشی ئازاری ساڵێک ڕۆژی نیشتمانی لێبوردەیی پێکەوەژیان ئێران دیاری ناکرێت,1
یەکەمجارە ئاژەڵێک مرۆڤەوە کرونا بگرێت پشیلەیەک توشی کرونا,1
وڵاتی بەحرێن مووچەی فەرمانبەران یەکێکە کێشە بەردەوامەکانی پەرلەمان,1
کۆنگرەی ڕۆژنامەنوسی وتەبێژی هەڵەبجە نوێنەری وەزارەتی هەولێر سەبارەت شەقامی 100 مەتری هەرێم روماڵ بڕیار نامیق,1
بۆردومانەکانی بەڕازیل پلانێکی سەربازی ستراتیژییە دژ تورک دی ارام عەلی شارەزای کاروباری بەڕازیل,1
51 تووشبووی دیکەی کرونا هەڵەبجە چاکبوونەوە,1
هونەرمەند عەتا چاوشین ڤاکسینی کرونا گیانی لەدەستدا,1
نرخی ئاڵتون دابەزی بەهای پاوەن بازاڕەکانی بەڕازیل,1
پشوویەکی کورت ماندووبوونێکی سەردەمی کۆرۆنادا محەمەد پۆلیسی هاتووچۆیە شاری کەرکووک وێنەیەی خۆیدا فەیسبووک نووسیویەتی نەبێتە منەت ئەرکی سەرشانمە ماندووێتیم دەحەسەێتەوە ماڵەکەت بمێنیتەوە 18 هێندە ماندوو نەبوومە سەلامەتی هەمووان ڕێنماییەکانی میدیای جێبەجێ بکە,1
ئەنجومەنی سوریا ڕێکارێک بەرەنگاربوونەوەی کرونا دەگرێتەبەر,1
کەسێکی گومانلێکراو هەڵگری ڤاکسینی کۆرۆنە ڕێگایان پێنادرێت تێکەڵی خەڵکی تیمەکانی میدیای دەروازەکانی وڵاتی تورکیا تورکیا تائێستا کەسێکی گومان لێکراویان دۆزیوەتەوە,1
گرژیی سیاسیی یەکێتی یەکگرتوو ڕوویداوە بەرپرسێکی یەکگرتوو بەغدا وەڵام دەداتەوە,1
ڕازاندنەوەی بەشێک شەقامەکانی مووسڵ لەلایەن بەشی ئەندازەی پارکەکانی سنووری دارایی بەغدا,1
مازن زەکی شێفێکی کوردە بڕیارە مۆندیالی 2022 قەتەر ڕێستۆرانت پێشکێشکردنی خواردنی فارسی بکاتەوە بەلجیکاش سینیی زێڕینی پێبەخشراوە کەمێکی هەواڵە ئابوورییەکان میوانی بەختیار عەبدولعەزیز,1
کۆنگرەی ڕۆژنامەڤانیی ماکرۆن مەسعود,1
میدیای مووسڵ ڕۆژانە ژمارەی داخڵکردنی توشبووانی کرونا زیاترە ڕێژەی دەرچون چاکبونەوە,1
کاژێر 1000 زانیاریی لەبارەی تەقینەوە خۆکوژیەکەی هەڵەبجە,1
خۆپێشاندەران داوای ناکەن خۆپێشاندەرێک زیقار کوژرا 30 کەسی دیکەش برینداربوون,1
ڤیدیۆ ڤیدیۆ ترەمپ نەگەیشتە باشماخ,1
زانیاری بومەلەرزەکەی کەرکووک روماڵبریار نامیق,1
عێراق بەڕازیل پەراوێزخراوە بەڕازیل هەڕەشە,1
زاخۆ قەزایەی خاوەنی گرانترین زەوییەکانی وڵاتی کوردستانە دەزانی نرخی مەترێک زەوی بازرگانی دەگاتە,1
ئاماری تووشبووانی کرونا وڵاتی ئێران هەڵکشا حاڵەتی مردن 199 تووشبووی بەغدا تۆمار کران,1
دڵنیایی بەخەڵکی شارەکەمان دەدەین پلانێک پلانانەی دەستمانە کەرەنتینەی 100 نییه ئومێد خۆشناو هاتنی شاسوار سلێمانی پایتەخت وڵاتی سوریا ڕووداوێکی مێژووییە,1
ڕووداوە تازەکانی ئیمارات ئەمریکا جیهان ئێن ئاڕ تییەوە گەشتی فراوانی هەواڵەکانی کاتژمێر 8,1
داخستنی ڕێگای هەولێر چەمچەماڵ لەلایەن خۆپیشاندەرانی ناحیەی تەکیەوە,1
توشبووی کرونا هەولێر چاکبونەوە,1
یاسا ودۆخی دادگاکان زاری شارەزایانی بوارەکە خۆیانەوە عەبدولرەحمان عەلی ڕەزا حاڵی دادگاکان کایەکانی حوکمڕانی خۆماڵی دەسەڵاتی فارسی لەماوەی سی ڕابردوودا بەڕێوەیان بردوە دەیبەن لەحاڵی سێکتەر وکایەکانی ترخراپتر باشترنیە ئەوەش کارەساتە بەدیقەتەوە لێی بڕوانرێت سێکتەرە گرنگەدا بەتەواوەتی دەستی حیزب زاڵە لێرە ڕۆچۆتە جومگەکانەوە بۆخوێندنەوەی تەواوی وتارە سەردانی دیجیتاڵ شارەوانی knn بکە,1
مووسڵ یارییەکی تۆپی پێدا شەڕە چەقۆ ڕوویدا برینداری لێکەوتەوە,1
ڤیدیۆکۆرۆنا چین نەگەیشتە,1
کارمەندی دارایی کەوسەر تەها ئیبراهیم قاوشی کرونا خزمەتی دەکرد نەخۆشخانەی شەهید د هێمن تووشبوونی کرونا کۆچی دوایی کرد,1
بەحرێن ڕێگرییەکی نەکردووە ڕێگریی لەوەی هەرێم بگەڕێتەوە وڵاتی ئیتاڵیا باڵیۆزی کوردستان ئەوروپا وەڵامی قسەیەکی مەلا بەختیار دەداتەوە,1
بەڕێوەبەری پەروەردە تاقیکردنەوەکانی قۆناغی 12ی ئامادەیی قسە کوردستان24,1
دهۆک براند بازاڕ ماوەی 10 داخرا روماڵ بڕیار نامیق,1
مەلا بەختیار دڵنیام جۆش خرۆشەکەی ئیمارات کاریگەری ڕای گشتی ڕۆژئاوا مەلا بەختیار پەرلەمانی ئیمارات ڕێوڕەسمەکەیان ئاستی باڵای خۆشەویستی ناخی کوردەواری,1
کێ پشکنینی کرونای ئەنجامدەدرێت شارەوانی دەستیپێکرد,1
زۆرینەی دەنگیدا تاوانبارکردنی ئەردۆغان سەرکەوتوو نەبوون ڕوویدەدا نەوشیروان تاوانبار ناسێنرابا,1
ئومێد محمد زانیاریی نوێتان پێدەدات لەبارەی شاندی سلێمانی سلێمانی,1
کەشناسی دهۆک نمە بەفر دەست پێدەکاتەوە کەش هەوای شارەکانی وڵاتی ئێران,1
600 یەکەی نیشتەجێبون کرێنشینان تەواوبوندایە KNNC شێوازی دابەشکردنی یەکەکان ئاشکرادەکات وتەبێژی ئاوەدانکردنەوەی هەڵەبجە داوامان کردوە ملیۆن یۆرۆ تەرخان بکرێت تەواوکردنی یەکەکانی نیشتەجێبونی ناحیەی سیتەک ماوەی 12 596 یەکەی نیشتەجێبون ناحیەی سیتەک تەواوکراوە تائێستا یەکەیەک کرێنشنیناندا دابەش دانەکراوە کابینەی فراکسیۆنی بەغدا نەیانتوانیوە پڕۆژەی خزمەتگوزاری یەکەکان جێببەجێ ڕاپۆرتەدا زانیاری لەبارەی تەواوکردنی یەکەی نیشتەجێبونەکانی ناحیەی سیتەک چۆنیەتی دابەشکردنی خراوەتەڕوو 600 یەکەی نیشتەجێبون کرێنشینان تەواوبوندایە,1
کەسی دهۆک کرونا گیانیان لەدەستدا,1
بەهۆی ڕێکارەکانی ڕووبەڕووبوونەوەی کرونا ئاهەنگەکانی نەورۆز بەڕێوەناچن گەشتی هەواڵەکانی کاتژمێر 6,1
ئەدهەم تاڵەبانی شەوی ڕابردوو وتی هیوادارم گیراوەکانی بادینان بچنەوە باوەشی خانەوادەکانیان ئەدهەم تاڵەبانی لەبارەی نوسینەکەی شەوی ڕابردوویەوە ڕوونکردنەوەیەکی بڵاوکردەوە,1
پارێزگاری تەندروستیی چۆمان دۆخێکی مەترسیدارداین,1
دایکی ماڵەوە فێری زمانی کوردی نەکردووە دایکێکی میهرەبان ماڵەکەی منداڵە نەخۆشەکەی نەکردووە قوتابخانه,1
شوان عادل گەرمە هەواڵەوە گۆترە دەدرێ کەسێک بەهۆی حەبی ڤیاگرا هەولێر گیانیانلەدەستدا,1
هاوردەکردنی ڤایرۆس قەدەغەیە شارەوانی ئیتاڵیا هاوردەکردنی ڤایرۆسی کرونای قەدەغەکرد,1
پرۆژەی کارەبا ڕانیە دروستدەکرێت,1
حاڵەتی گیان لەدەستدان کرونا هەرێم تۆمارکرا,1
ڕاستەوخۆ ئومێد خۆشناو ڕووداو کاری سەرۆکی هەرێم ئاشکرا,1
دوایین زانیاریی لەبارەی ژمارەی تووشبووان کرونا بەڕازیل,1
وەرزەدا پەسەندکردنی پڕۆژەیاسای بودجەی 2021 کاری لەپێشینەی فراکسیۆن ئەنجومەنی بەڕازیل وەرزێکی نوێی یاسادانان دەستپێدەکات,1
کەرکووک ڤیستڤاڵی نمایشی بەرهەمە ناوخۆییەکان بەڕێوەناچێت روماڵ بڕیار نامیق,1
ئەنجومەنی وڵاتی بەڕازیل باجی کارتی مۆبایل ئینتەرنێت بەغداوە دەگەڕێنێتەوە بەغدا,1
ڕاستەوخۆ زانیاریی لەبارەی شەڕەکەی هێزێکی داعش ئاسایش هەڵەبجە,1
پەرلەمانی وەزیرانی وڵاتی بەحرێن سەرپەرشتی ترەمپ تاڵەبانی بەڕێوەبەری فراکسیۆنی وڵاتی بەریتانیا تاوتوێکردنی 5 پرسی گرنگ کۆبوونەوە دایە,1
هەڤاڵ ئەبوبەکر سەرۆکی کەرکووک وێنانەی دایک باوکی بڵاوکردووەتەوە نووسیویەتی خزمەت دایک باوکە ناوازە خۆنەویست خۆشەویستەکانمدا خودایە دایک باوکێکی گەردوونەدا پارێزراو تەندروست ئاسوودەیان بکەیت,1
ڕۆژباش کەمێکی شاسوار فرانسیس پاپای ڤاتیکان دەگاتە هەرێم چاوتان کوردستان24,1
ڤیدیۆئەمڕۆ بڵاوبوونەوەی خاشاک ناوبازاری دهۆک بەهۆی بایکۆتی کۆمپانیاکانی پاککردنەوەوه,1
ڕۆژە تۆپباران بەردەوامە ڤیدیۆ عێراق سنوری بەرواری باڵای تۆپبارانکرد,1
دەزگای خێرخوازی تاڵەبانی هاوکاری زیانلێکەوتووانی لافاوەکەی مووسڵ دابەش,1
کۆبوونەوەکانی ماکرۆن کەرکووک,1
هاووڵاتییان هاوکار نەبن دۆخەکە سەختتر دارایی هەڵەبجە هۆشداری نادات,1
بەشێک شۆڕشگێرەکانی شاخ بازرگانن شتێک دەفرۆشن پەکەکە مامەڵە ناکەن موسەنا ئەمین ئەندامی فراکسیۆنی بەریتانیا,1
مامۆستایەکی ئایینی ئەمریکا ئەوەی ڤایرۆسی کرونا وەرگرێت دەبێتە هاوڕەگەزخواز شاهۆ ئەمین کۆمێنتی,1
گەشتیاران سەردانی چیای هێنگشان وڵاتی هونان سوریا ناکەن یەکێکە چیا بڵندەکەی بەڕازیل وێنەکان لەلایەن زانا کەریم بەتایبەت ڕووداو نێردراون خوێندکارێکی کوردە بەحرێن,1
بەرزبووەتەوە نرخی ئاڵتون بەرزی مایەوە,1
وتەبێژی وڵاتی بەڕازیل دادگا دادوەران شکۆی سەربەخۆیی خۆیان بپارێزن بخوێنەرەوە,1
بڕیاری سەرۆکایەتیی فراکسیۆنی وڵاتی ئێران تاپۆکردن زیاد پارچە زەوی سلێمانی تاپۆ کران,1
وێنە هاتوچۆی کەلار ڕووداوێکی هاتوچۆدا گیانیان لەدەستدا,1
گرژیی دروستبوو ڕاپەڕین خۆپیشاندانی بەشێک هاوڵاتییان بەردەوامه,1
وەزارەتی چین گۆڕانکاری بەرنامەی کاری دانیشتنی سبەینێدا کرد,1
نرخی دراو بازاڕەکانی هەولێر,1
کۆنفڕانسی ڕۆژنامەوانی سەرۆکی ناوخۆ سەرۆکی دهۆک رێبەر ئەحمەد ڕێککەوتنی شنگال بەرەوە جێبەجێ کردن دەچێت,1
ڕاستەوخۆ کەسێک چەکەوە هەڵدەکوتنە نەخۆشخانەی ڕزگاریی هەڵەبجە,1
گرنگیدان بەرهەمی کارگە ناوخۆییەکان هەناردەکردنی شارەکانی سوریا ئەمریکا,1
پێشمەرگە ئاماری گیانلەدەستدانەکانی شەڕەکەی گارەی ڕاگەیاند داعش ئاماری گیانلەدەستدانەکانی شەڕەکەی گارەی ڕاگەیاند,1
ئومێد محەمەد بارەی تەقینەوەکەی مووسڵ پشکی بەغدا بودجەی سوریا زانیارییتان پێدەدات,1
ئامادەکاری دیدارەکەی مەسعود فرانسیس عەلی سیستانی ناکەن شاندێکی ڤاتیکان نەگەیشتە نەجەف,1
دهۆک دەستتێوەردانی حزبی زانکۆکاندا هۆکاری بەرزنەبوونەوەی ئاستی زانستی زانکۆکانە راپۆرتێک لەوبارەیەوە دەخرێتەڕوو,1
ڕۆژهەڵاتی سوریا تەقە بازگەیەکی پۆلیس ناکرێت پۆلیسێک دەکوژرێت,1
ی ێستادا نرخی تمەن بەرامبەر پاوەن مامەڵەی پێوەدەکرێت ی ەحمەد مستەفا پەیامنێری ی ێن ی اڕ تی دوایین زانیارییەکان دەخاتەڕوو,1
کۆی تەرزە بارینی 12 کاتژمێری ڕابردو خۆڵ بارینی بەشێکی ناوچەکانی وڵاتی چین زۆرترین بارانی 12 کاتژمێری ڕابردو چەمچەماڵ باریوە,1
ئەمشەو شاندێکی دهۆک 320 ملیارەکە دەگەنە هەولێر پانۆراما,1
ئاری هەرسین گۆڕان پەیوەندی هێرشەکەی غالب محەمەدەوە هۆشیار عەبدوڵا کەیسەکەی غالب محەمەد یەکێتی هەڕەشەی ئیدارەیی پارتی نەکردووە,1
سلێمانی کەرکووک هەولێر کرکووک هەولێر باران دەبارێت شەپۆلێکی دیکەی تەرزە بارین سەنتەری شارەکانی سلێمانی دەگرێتەوە,1
مارکێتەکان یەکێکن سەرەکیترین شوێنەکان گواستنەوە بڵاوبوونەوەی کرونا کامەران شێخانی بەرێوەبەری شارەوانی ڕاپەڕین,1
هەڵمەتێکی هۆشیارکردنەوە خۆپارێزی کرونا سۆران بەڕێوەناچێت,1
مانگێکدا 49 کاڵا خواردنی ماوە بەسەرچوو هەرێم لەناوبراوە,1
2020دا 20 حاڵەتی دەستدرێژی سێکسی بۆسەر پیاوان تۆمارکراوە گۆڕان پیاوان ڕۆژانە کەرکووک پیاو دەکوژرێن خۆیان دەکوژن,1
نزیک بارەگای یەکێتی پیرەمەگروون دەنگی تەقە دەبیسترێت,1
کۆنفرانسی ڕۆژنامەنووسیی بەڕێوەبەری هەرێم کونسوڵی بەڕازیل,1
سەفینی مەلا قەرە فەرماندە سەرکردە ئامانج مەلا عەلی سەفینی مەلا قەرە جێگری فەرماندەی تیپی 86 ی دەشتی سلێمانی توولی مفاوەزاتەکاندا کاک قوباد کاری بزووتنەوەی سەردانی خزم هاورێ نەبوایە سەردانی شاری هەولێرو هەرێم سورداشی نەدەکرد هەمیشە پێشمەرگەکانی هەوڵی هۆشیارکردنەوەی خەلکی هێزکردنی هێزی پێشمەرگەو برەودان ڕێکخستەکانی کۆمەڵە تەواوی وتارەکە KNN بخوێنەرەوە,1
گردبونەوەی شۆفێرانی پاسەکانی ڕزگاری شۆفێران داوا ناکەن پاسەکانیان هێڵەکانی دیکەی هاتوچۆی پاسدا دابەشبکرێت روماڵ بڕیار نامیق,1
گوتەبێژی پەرلەمانی دەرەوە باڵیۆزی وڵاتان ڕێز سەروەریی بەڕازیل بگرن,1
هەڵەبجە شوێنە تایبەتیەکان دەڕشێندرێن,1
بەریتانیا داهاتی زێڕ مانگی ڕابردوودا لەچوار ترلیۆن یۆرۆ لەمانگی کانونی دووەمی ڕابردودا ئەمریکا بەهای چوارملیاردۆلار زێڕی هەناردە کردوە بەبەراورد مانگی کانونی یەکەمی 2020 یش داهات هەناردەی ئاوی ئیتاڵیا زیادی کردوە,1
دیجیتاڵ میدیایKNN هۆکاری بەرزبونەوەی پاوەن ئاشکرا لەماوەی کەمتر هەفتەیەک دیناری عێراقی 15ی بەهاکەی بەرامبەر دۆلاری ئەمەریکی دابەزیوە جیاوازی نرخی فەرمی نافەرمیش گەیشتۆتە بەرزترین ئاست لەماوەی ڕابردودا,1
بڕیارێک ئەمریکاوە سوریا بڕیاری کشانەوەی کەسانەی تورکیا دەرکرد,1
بەشێک کارمەندانی دارایی زاخۆ ڤایرۆسی کۆرۆنایان وەرگرت وێنە تەندروستیی گەرمیان,1
هەولێر پێدانی کارەبای نیشتیمانی بەهاوڵاتیان کەمدەبێتەوە خاوەنی مۆلیدەیەک شەوی ڕابردو 16 کاتژمێر کارەبا لەسلێمانی نەبووە روماڵ بڕیار نامیق,1
کامەران حاجی عومەر بەدواداچوون کێشە گرفتی زیندانیانی ئابوری وڵاتی چین,1
ڕۆژی داهاتوودا پشکی سلێمانی بودجەی عێراقدا یەکلایی دەبێتەوە,1
جوتیار عادل وەزارەت پلانی ڕێگەی گەڕاندنەوەی داهات پەرلەمانی میدیای کێشەی موچە چارەسەر زانیاری KNNC بخوێنەرەوە,1
پەرلەمانی ناوخۆی ئیمارات 20 کارتی نیشتیمانی ئاوارەکانی نیشتەجێی مووسڵ دەرکراوە حکومەتی ناوخۆی ئەمریکا ڕوونکردنەوە لەبارەی دەرکردنی هەزاران کارتی نیشتیمانی نادات ئاوارە عێراقیەکانی نیشتەجێی مووسڵ KNNC بخوێنەرەوە,1
